metric,timestep,p,cliffs_delta
gene,56000,3.391821390825095e-06,1.0
gene,56400,3.391821390825095e-06,1.0
gene,56800,3.391821390825095e-06,1.0
gene,57200,3.391821390825095e-06,1.0
gene,57600,3.391821390825095e-06,1.0
gene,58000,3.391821390825095e-06,1.0
gene,58400,3.391821390825095e-06,1.0
gene,58800,3.391821390825095e-06,1.0
gene,59200,3.391821390825095e-06,1.0
gene,59600,3.391821390825095e-06,1.0
gene,60000,3.391821390825095e-06,1.0
gene,60400,3.391821390825095e-06,1.0
gene,60800,3.391821390825095e-06,1.0
gene,61200,3.391821390825095e-06,1.0
gene,61600,3.391821390825095e-06,1.0
gene,62000,3.391821390825095e-06,1.0
gene,62400,3.391821390825095e-06,1.0
gene,62800,3.391821390825095e-06,1.0
gene,63200,3.391821390825095e-06,1.0
gene,63600,3.391821390825095e-06,1.0
gene,64000,3.391821390825095e-06,1.0
gene,64400,3.391821390825095e-06,1.0
gene,64800,3.391821390825095e-06,1.0
gene,65200,3.391821390825095e-06,1.0
gene,65600,3.391821390825095e-06,1.0
gene,66000,3.391821390825095e-06,1.0
gene,66400,3.391821390825095e-06,1.0
gene,66800,3.391821390825095e-06,1.0
gene,67200,3.391821390825095e-06,1.0
gene,67600,3.391821390825095e-06,1.0
gene,68000,3.391821390825095e-06,1.0
gene,68400,3.391821390825095e-06,1.0
gene,68800,3.391821390825095e-06,1.0
gene,69200,3.391821390825095e-06,1.0
gene,69600,3.391821390825095e-06,1.0
gene,70000,3.391821390825095e-06,1.0
gene,70400,3.391821390825095e-06,1.0
gene,70800,3.391821390825095e-06,1.0
gene,71200,3.391821390825095e-06,1.0
gene,71600,3.391821390825095e-06,1.0
gene,72000,3.391821390825095e-06,1.0
gene,72400,3.391821390825095e-06,1.0
gene,72800,3.391821390825095e-06,1.0
gene,73200,3.391821390825095e-06,1.0
gene,73600,3.391821390825095e-06,1.0
gene,74000,3.391821390825095e-06,1.0
gene,74400,3.391821390825095e-06,1.0
gene,74800,3.391821390825095e-06,1.0
gene,75200,3.391821390825095e-06,1.0
gene,75600,3.391821390825095e-06,1.0
gene,76000,3.391821390825095e-06,1.0
gene,76400,3.391821390825095e-06,1.0
gene,76800,3.391821390825095e-06,1.0
gene,77200,3.391821390825095e-06,1.0
gene,77600,3.391821390825095e-06,1.0
gene,78000,3.391821390825095e-06,1.0
gene,78400,3.391821390825095e-06,1.0
gene,78800,3.391821390825095e-06,1.0
gene,79200,3.391821390825095e-06,1.0
gene,79600,3.391821390825095e-06,1.0
gene,80000,3.391821390825095e-06,1.0
gene,80400,3.391821390825095e-06,1.0
gene,80800,3.391821390825095e-06,1.0
gene,81200,3.391821390825095e-06,1.0
gene,81600,3.391821390825095e-06,1.0
gene,82000,3.391821390825095e-06,1.0
gene,82400,3.391821390825095e-06,1.0
gene,82800,3.391821390825095e-06,1.0
gene,83200,3.391821390825095e-06,1.0
gene,83600,3.391821390825095e-06,1.0
gene,84000,3.391821390825095e-06,1.0
gene,84400,3.391821390825095e-06,1.0
gene,84800,3.391821390825095e-06,1.0
gene,85200,3.391821390825095e-06,1.0
gene,85600,3.391821390825095e-06,1.0
gene,86000,3.391821390825095e-06,1.0
gene,86400,3.391821390825095e-06,1.0
gene,86800,3.391821390825095e-06,1.0
gene,87200,3.391821390825095e-06,1.0
gene,87600,3.391821390825095e-06,1.0
gene,88000,3.391821390825095e-06,1.0
gene,88400,3.391821390825095e-06,1.0
gene,88800,3.391821390825095e-06,1.0
gene,89200,3.391821390825095e-06,1.0
gene,89600,3.391821390825095e-06,1.0
gene,90000,3.391821390825095e-06,1.0
gene,90400,3.391821390825095e-06,1.0
gene,90800,3.391821390825095e-06,1.0
gene,91200,3.391821390825095e-06,1.0
gene,91600,3.391821390825095e-06,1.0
gene,92000,3.391821390825095e-06,1.0
gene,92400,3.391821390825095e-06,1.0
gene,92800,3.391821390825095e-06,1.0
gene,93200,3.391821390825095e-06,1.0
gene,93600,3.391821390825095e-06,1.0
gene,94000,3.391821390825095e-06,1.0
gene,94400,3.391821390825095e-06,1.0
gene,94800,3.391821390825095e-06,1.0
gene,95200,3.391821390825095e-06,1.0
gene,95600,3.391821390825095e-06,1.0
gene,96000,3.391821390825095e-06,1.0
gene,96400,3.391821390825095e-06,1.0
